NOM_MUN|COD_MUN|MAP_1990|MUSE_1990|MAP_1991|MUSE_1991|MAP_1992|MUSE_1992|MAP_1993|MUSE_1993|MAP_1994|MUSE_1994|MAP_1995|MUSE_1995|MAP_1996|MUSE_1996|MAP_1997|MUSE_1997|MAP_1998|MUSE_1998|MAP_1999|MUSE_1999|MAP_2000|MUSE_2000|MAP_2001|MUSE_2001|MAP_2002|MUSE_2002|MAP_2003|MUSE_2003|MAP_2004|MUSE_2004|MAP_2005|MUSE_2005|MAP_2006|MUSE_2006|MAP_2007|MUSE_2007
SAN PABLO|13670|||2||12||||14||1||1||||||||1||3||1||7||2||18||8||2|
SAN PABLO|52693||||||||||||||||||||||||||||||||||||
SAN PABLO DE BORBUR|15681||||||||||||||||||||||||||||||||||||
SAN PEDRO|05664||||||||||||||||||||||||||||||||||||
SAN PEDRO|70717||||||||||||||||||||||||||||||||||||
SAN PEDRO|76670|||||||||||||||||||||||||||||||||1|||
SAN PEDRO DE CARTAGO|52694||||||||||||||||||||||||||||||||||||
SAN PEDRO DE URABA|05665||||||||||||||||||||||||||||||||||||
SAN PELAYO|23686||||||||||||||||||||||||||||||||||||
SAN RAFAEL|05667|||||||||||||||||||||||||5||5||||4||9||1|
SAN ROQUE|05670|||||||||||||||||||||||1||||4|||||||||
SAN SEBASTIÁN|19693|||||||||||||||||||||||2||3||6||2||2||||1|
SAN SEBASTIÁN DE BUENAVISTA|47692||||||||||||||||||||||||||||||||||||
SAN VICENTE|05674|||||||||||||||||||||||||||2|||||||||
SAN VICENTE DE CHUCURÍ|68689|||5||6||1||9||||||||||2||1||||||3|||||||||
SAN VICENTE DEL CAGUÁN|18753|||||||||1||1||1||10||||||||||23||19||27||13||28||13|
SAN ZENÓN|47703||||||||||||||||||||||||||||||||||||
SANDONÁ|52683||||||||||||||||||||||||||||||||||||
SANTA ANA|47707||||||||||||||||||||||||||||||||||||
SANTA BÁRBARA|05679||||||||||||||||||||||||||||||||||||
SANTA BÁRBARA|52696|||||||||||||||||||||||||||||||||1|||
SANTA BÁRBARA|68705||||||||||||||||||||||||||||||||||||
SANTA BÁRBARA DE PINTO|47720||||||||||||||||||||||||||||||||||||
SANTA CATALINA|13673||||||||||||||||||||||||||||||||||||
SANTA HELENA DEL OPÓN|68720||||||||||||||||||||||||||||||||||||
SANTA ISABEL|73686|||||||||||||||||||||||||||||||||||11|
SANTA LUCÍA|08675||||||||||||||||||||||||||||||||||||
SANTA MARÍA|15690||||||||||||||||||||||||||||||||||||
SANTA MARÍA|41676||||||||||||||||||||||||||||||||||||
SANTA MARTA|47001|||||||||||||||||||||5||1|||||||||||||
SANTA ROSA|13683|||||1||||||2||||||||||6||12||||||1||||2|||
SANTA ROSA|19701|||||||||||||||||||||||||||19||7||||9|||
SANTA ROSA DE CABAL|66682|||||||||||||||||||||||||||||||||||3|
SANTA ROSA DE OSOS|05686|||||||||||||||||||||||1|||||||||||||
SANTA ROSA DE VITERBO|15693||||||||||||||||||||||||||||||||||||
SANTA ROSA DEL SUR|13688|||2||1||2||1||||||4||||||4||3||1||1||||1||4|||
SANTA ROSALÍA|99624||||||||||||||||||||||||||||||||||||
SANTA SOFÍA|15696||||||||||||||||||||||||||||||||||||
SANTACRUZ|52699||||||||||||||||||||||||||||||||||||
SANTAFÉ DE ANTIOQUIA|05042|||||||||||||3||||||||||||||||1|1||||||
SANTANA|15686||||||||||||||||||||||||||||||||||||
SANTANDER DE QUILICHAO|19698||||||||||||||||||||||||||2|4|1|||1||6|1||
SANTIAGO|54680|||||||||||||||||||||||||||||||||6|||
SANTIAGO|86760|||||1|||||||||||||||||||||||||||||||
SANTIAGO DE TOLÚ|70820||||||||||||||||||||||||||||||||||||
SANTO DOMINGO|05690|||||||||||||||||||||||1||1|||||||||||
SANTO TOMÁS|08685||||||||||||||||||||||||||||||||||||
SANTUARIO|66687|||||||||||||||||||||||1|||||||||||||
SAPUYES|52720||||||||||||||||||||||||||||||||||||
SARAVENA|81736|||||||||||||||||||||4||||1||6||2||3||3||1|
SARDINATA|54720|||||||||||||||||||||||||2||||1||3||7|||
SASAIMA|25718|||||||||||||||||||||||1|||||||||||||
SATIVANORTE|15720||||||||||||||||||||||||||||||||||||
SATIVASUR|15723||||||||||||||||||||||||||||||||||||
SEGOVIA|05736|||||4||||3||8||||||1||||||3||3|1|||1||||10||1|
SESQUILÉ|25736|||||||||||||||||||||||||||1|||||||||
SEVILLA|76736|||||||||||||||||||||||||||||1|||||||
SIACHOQUE|15740||||||||||||||||||||||||||||||||||||
SIBATÉ|25740||||||||||||||||||||||||||||||||||||
SIBUNDOY|86749||||||||||||||||||||||||||||||||||||
SILOS|54743||||||||||||||||||||||||||||||||||||
SILVANIA|25743||||||||||||||||||||||||||||||||||||
SILVIA|19743|||||||||||||||1|||||||||1||||||||||||
SIMACOTA|68745|1||||||||||||||||||||||||3||1|||||||||
SIMIJACA|25745||||||||||||||||||||||||||||||||||||
SIMITÍ|13744|||||||||||4||||||||||||2||2||1|1|4||3||2||4|
SINCÉ|70742||||||||||||||||||||||||||||||||||||
SINCELEJO|70001|||||||6|||||||||||||||||||1||||||||||
SIPÍ|27745||||||||||||||||||||||||||||||||||||
SITIONUEVO|47745||||||||||||||||||||||||||||||||||||
SOACHA|25754||||||||||||||||||||||||||||||||||||
SOATÁ|15753||||||||||||||||||||||||||||||||||||
SOCHA|15757||||||||||||||||||||||||||||||||||||
SOCORRO|68755|1|||||||||||||||||||||||||||||||||||
SOCOTÁ|15755||||||||||||||||||||||||||||||||||||
SOGAMOSO|15759||||||||||||||||||||||||||||1||||||||
SOLANO|18756|||||||||||||||||||||||1||4||||||3|||||
SOLEDAD|08758||||||||||||||||||||||||||||||||||||
SOLITA|18785|||||||||||||||||||||||||||1||||||1|||
SOMONDOCO|15761||||||||||||||||||||||||||||||||||||
SONSON|05756|||||||||||||||||||||||12||1||7||10||12||14||12|
SOPETRÁN|05761||||||||||||||||||||||||||||||||||||
SOPLAVIENTO|13760||||||||||||||||||||||||||||||||||||
SOPÓ|25758||||||||||||||||||||||||||||||||||||
SORA|15762||||||||||||||||||||||||||||||||||||
SORACÁ|15764||||||||||||||||||||||||||||||||||||
SOTAQUIRÁ|15763||||||||||||||||||||||||||||||||||||
SOTARA|19760||||||||||||||||||||||||||||||||||||
SUAITA|68770|||||||||1|||||||||||||||||||||||||||
SUAN|08770||||||||||||||||||||||||||||||||||||
SUÁREZ|19780||||||||||||||||||||||||||1|||||||12|||
SUÁREZ|73770||||||||||||||||||||||||||||||||||||
SUAZA|41770|||||||||||||||||||||||||2||||5|||||||
SUBACHOQUE|25769||||||||||||||||||||||||||||||||||||
SUCRE|19785||||||||||||||||||||||||||||||||||||
SUCRE|68773|||||||||||||||||||||||||2||4||1|||||||
SUCRE|70771|||||||||||||||||||||||||||||1|||||||
SUESCA|25772||||||||||||||||||||||||||||||||||||
SUPATÁ|25777||||||||||||||||||||||||||||||||||||
SUPÍA|17777|||||||||||||||||||||||||||||2|||||||
SURATÁ|68780|||||||||||||||||||||||2||8||||1|||||||
SUSA|25779||||||||||||||||||||||||||||||||||||
SUSACÓN|15774||||||||||||||||||||||||||||||||||||
SUTAMARCHÁN|15776||||||||||||||||||||||||||||||||||||
SUTATAUSA|25781||||||||||||||||||||||||||||||||||||
SUTATENZA|15778||||||||||||||||||||||||||||||||||||
TABIO|25785||||||||||||||||||||||||||||||||||||
TADÓ|27787|||||||||||||||||||||||||||||1|||||||
TALAIGUA NUEVO|13780||||||||||||||||||||||||||||||||||||
TAMALAMEQUE|20787||||||||||||||||||||||||||||||||||||
TÁMARA|85400|||||||||||||1|||||||||||||||||||||||
TAME|81794|||||||2|||||4|||3||||2||||8||6||3||31|2|54||27||31|
TÁMESIS|05789||||||2||||||||||||||||||||||||||||||
TAMINANGO|52786||||||||||||||||||||||||||||||||||||
TANGUA|52788||||||||||||||||||||||||||||||||||||
TARAIRA|97666||||||||||||||||||||||||||||||||||||
TARAPACÁ|91798||||||||||||||||||||||||||||||||||||
TARAZÁ|05790|||||||||||||||||||||||||||7||16||9||2|||
TARQUI|41791||||||||||||||||||||||||||||||||||||
TARSO|05792||||||||||||||||||||||||||||||||||||
TASCO|15790||||||||||||||||||||||||||||||||||||
TAURAMENA|85410|||||||||||||||||||||2||||13|||||||||||
TAUSA|25793||||||||||||||||||||||||||||||||||||
TELLO|41799|||||8|||||||||||||||||||||||||||||||
TENA|25797||||||||||||||||||||||||||||||||||||
TENERIFE|47798||||||||||||||||||||||||||||||||||||
TENJO|25799||||||||||||||||||||||||||||||||||||
TENZA|15798||||||||||||||||||||||||||||||||||||
TEORAMA|54800|||||||||||||||||||||||||9||23||||30||25|||
TERUEL|41801||||||||||||||||||||||||||||||||||||
TESALIA|41797||||||||||||||||||||||||||||||||||||
TIBACUY|25805||||||||||||||||||||||||||||||||||||
TIBANÁ|15804||||||||||||||||||||||||||||||||||||
TIBASOSA|15806||||||||||||||||||||||||||||||||||||
TIBIRITA|25807||||||||||||||||||||||||||||||||||||
TIBÚ|54810|||||||||||||||||||||6||||4||18||20|1|7||23||3|
TIERRALTA|23807|||||||||1||||||||||||||||||1||4||8||5|||
TIMANÁ|41807||||||||||||||||||||||||||||||||||||
TIMBÍO|19807||||||||||||||||||||||||||||||||||||
TIMBIQUÍ|19809||||||||||||||||||||||||||||||||||||
TINJACÁ|15808||||||||||||||||||||||||||||||||||||
TIPACOQUE|15810||||||||||||||||||||||||||||||||||||
TIQUISIO|13810|||||||||||||||1||||||||||1||3|||||||||
TITIRIBÍ|05809||||||||||||||||||||||||||||||||||||
TOCA|15814||||||||||||||||||||||||||||||||||||
TOCAIMA|25815||||||||||||||||||||||||||||||||||||
TOCANCIPÁ|25817||||||||||||||||||||||||||||||||||||
TOGÜÍ|15816||||||||||||||||||||||||||||||||||||
TOLEDO|05819||||||||||||||||||||||||||||||||||||
TOLEDO|54820|||||||||||||||||||||||||||||||1|||||
TOLÚ VIEJO|70823||||||||||||||||||||||||||||||||||||
TONA|68820||||||||||||||||||||||||||||||||||||
TÓPAGA|15820||||||||||||||||||||||||||||||||||||
TOPAIPÍ|25823|||||||||||||||||||||||||||6|||||||||
TORIBIO|19821||||||||||||||||4|||1|||||||||2|12||20|4||||
TORO|76823||||||||||||||||||||||||||||||||||||
TOTA|15822||||||||||||||||||||||||||||||||||||
TOTORÓ|19824||||||||||||||||||||||||||||2||||||||
TRINIDAD|85430||||||||||||||||||||||||||||||||||||
TRUJILLO|76828||||||||||||||||||||||||||||||||||||
TUBARÁ|08832||||||||||||||||||||||||||||||||||||
TULUÁ|76834|||||||||||||||||||||||||||||||||6||2|
TUMACO|52835|||||||||||||||||||||||||||||||13||3|||
TUNJA|15001||||||||||||||||||||||||||||||||||||
TUNUNGUÁ|15832||||||||||||||||||||||||||||||||||||
TÚQUERRES|52838||||||||||||||||||||||||||||||||||||
TURBACO|13836||||||||||||||||||||||||||||||||||||
TURBANÁ|13838||||||||||||||||||||||||||||||||||||
TURBO|05837|||||||2||2||||4||3||3||||2||||||3||4||||2|||
TURMEQUÉ|15835||||||||||||||||||||||||||||||||||||
TUTA|15837||||||||||||||||||||||||||||||||||||
TUTAZÁ|15839||||||||||||||||||||||||||||||||||||
UBALÁ|25839||||||||||||||||||||||||||||||||||||
UBAQUE|25841||||||||||||||||||||||||||||||||||||
ULLOA|76845||||||||||||||||||||||||||||||||||||
UMBITA|15842||||||||||||||||||||||||||||||||||||
UNE|25845||||||||||||||||||||||||||||2||||||||
UNGUÍA|27800|||||||||||||||||||||||||||1|||||||||
UNIÓN PANAMERICANA|27810||||||||||||||||||||||||||||||||||||
URAMITA|05842||||||||||||||||||||||||||||||||||||
URIBE|50370|||||2||||||||||||||||||||2||1||5||2||1||7|1
URIBIA|44847||||||||||||||||||||||||||||||||||||
URRAO|05847|||||||||||||||||||||1||||||27||1|1|||2|||
URUMITA|44855||||||||||||||||||||||||||||||||||||
USIACURÍ|08849||||||||||||||||||||||||||||||||||||
ÚTICA|25851|||||||||||||||||||||||||||4|||||||||
VALDIVIA|05854|||||||||||||||||||||||||||||||10||19||1|
VALENCIA|23855||||||||||||||||||||||||||||||||||||
VALLE DE SAN JOSÉ|68855||||||||||||||||||||||||||||||||||||
VALLE DE SAN JUAN|73854||||||||||||||||||||||||||||||||||||
VALLE DEL GUAMUEZ|86865|||||||||||4||||||||||||2||1||||||3||5|||
VALLEDUPAR|20001|||||||1||||||||||||||||||2||7||||16|||||
VALPARAÍSO|05856||||||||||||||||||||||||||||||||||||
VALPARAÍSO|18860|||||||||||||||||||||||2||1||2||||||2|||
VEGACHÍ|05858|||||||||||1||||||||||||||2||1|||||||||
VÉLEZ|68861||||||||||||||||||||||||||||||||||||
VENADILLO|73861||||||||||||||||||||||||||||||||||||
VENECIA|05861||||||||||||||||||||||||||||||||||||
VENECIA|25506||||||||||||||||||||||||||||||||||||
VENTAQUEMADA|15861||||||||||||||||||||||||||||||||||||
VERGARA|25862|||||||||||||||||||||||||||||2|||||||
VERSALLES|76863||||||||||||||||||||||||||||||||||||
VETAS|68867||||||||||||||||||||||||||||||||||||
VIANÍ|25867|||||||||||||||||||1||||||1|||||||||||
VICTORIA|17867||||||||||||||||||||||||||||||||||||
VIGÍA DEL FUERTE|05873||||||||||||||||||||||||||||||||||||
VIJES|76869||||||||||||||||||||||||||||||||||||
VILLA CARO|54871||||||||||||||||||||||||||||||||||||
VILLA DE LEYVA|15407||||||||||||||||||||||||||||||||||||
VILLA DE SAN DIEGO DE UBATE|25843||||||||||||||||||||||||||||||||||||
VILLA DEL ROSARIO|54874||||||||||||||||||||||||||||||||||||
VILLA RICA|19845||||||||||||||||||||||||||||||||||||
VILLAGARZÓN|86885|||||||||||||||||||||||||||4||||2||1|||
VILLAGÓMEZ|25871|||||||||||||||||||||||||||1|||||||||
VILLAHERMOSA|73870|||||||||||||||||||||||||||2||||1|||||
VILLAMARÍA|17873||||||||||||||||||||||||||||||||||||
VILLANUEVA|13873|||||||||||||||||||||||||||||||1|||||
VILLANUEVA|44874||||||||||||||||||||||||||||||||||||
VILLANUEVA|68872||||||||||||||||||||||||||||||||||||
VILLANUEVA|85440||||||||||||||||||||||||||||||||||||
VILLAPINZÓN|25873|||||||||||||||||||||||||||2|||||||||
VILLARRICA|73873||||||||||||||||||||||||||||||||||||
VILLAVICENCIO|50001|||||||||||||||||||||1|||||2|1||1||4||3|2||5
VILLAVIEJA|41872||||||||||||||||||||||||||||||||||||
VILLETA|25875||||||||||||||||||||||||||||||||||||
VIOTÁ|25878||||||||||||||||||||||||||||||||||||
VIRACACHÁ|15879||||||||||||||||||||||||||||||||||||
VISTAHERMOSA|50711|||||||||||||||||||||||||1||5||12||97||71|3|12|1
VITERBO|17877||||||||||||||||||||||||||||||||||||
YACOPÍ|25885||||||||||||||||||||||||||||||||||||
YACUANQUER|52885||||||||||||||||||||||||||||||||||||
YAGUARÁ|41885||||||||||||||||||||||||||||||||||||
YALÍ|05885|||||||||1||||||||||||||5|||||||||||||
YARUMAL|05887|||||||||||4||||||||5||||3||1|1|10|1|3||||13|||
YAVARATÉ|97889||||||||||||||||||||||||||||||||||||
YOLOMBÓ|05890||||||4|||||||||||||||||3||3|1|1||||1|||||
YONDÓ|05893||||||||||||2||5|||||||||1||1||||||1|||||
YOPAL|85001|||||||1|3|||||||||||||||1||||1||||||1|||
YOTOCO|76890||||||||||||||||||||||||||||||||||||
YUMBO|76892||||||||||||||||||||||||||||||||||||
ZAMBRANO|13894|||||||||||||||||||||||||14||6||3||8||6|||
ZAPATOCA|68895|||||||||||||||1||||||||2|||||||||||||
ZAPAYÁN|47960||||||||||||||||||||||||||||||||||||
ZARAGOZA|05895|||||||1||1||||||||5||1||1||4||2||||1||||2|||
ZARZAL|76895||||||||||||||||||||||||||||||||||||
ZETAQUIRA|15897|||||||||||||||||||||||||||||2|||||||
ZIPACÓN|25898||||||||||||||||||||||||||||||||||||
ZIPAQUIRÁ|25899||||||||||||||||||||||||||||||||||||
ZONA BANANERA|47980||||||||||||||||||||||||||||||||||||
